videoId,textDisplay,textOriginal,authorDisplayName,authorProfileImageUrl,authorChannelUrl,authorChannelId,canRate,viewerRating,likeCount,publishedAt,updatedAt,parentId,commentId,sentiment
HUhHIzkhIzQ,"DISCORD LINK: <a href=""https://discord.gg/4WTS92n7QW"">https://discord.gg/4WTS92n7QW</a>",DISCORD LINK: https://discord.gg/4WTS92n7QW,Clouded Studios,https://yt3.ggpht.com/CjSGFqeRR_zFbuiH_OGaHv7CvtZ-wzu1c1EDex_Br2ZxL4g58QtZJUQlKH0InRF3bcbXThPVLE4=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCkJHfZ3xmhe5M2xEWcPi1cQ,{'value': 'UCkJHfZ3xmhe5M2xEWcPi1cQ'},TRUE,none,3,2023-02-03T17:52:18Z,2023-02-03T17:52:18Z,,UgxAQr9EY6VzevKu-xV4AaABAg,0
HUhHIzkhIzQ,Great work!! Inspirational for us that are learning,Great work!! Inspirational for us that are learning,John Depalma,https://yt3.ggpht.com/ytc/AL5GRJUZMmZ64PbkzIe0H4RwFHvg5wnCQMfWukqVNk_6vQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC96zbpj-gOd2DrYUxDRWj7g,{'value': 'UC96zbpj-gOd2DrYUxDRWj7g'},TRUE,none,0,2023-03-31T16:11:54Z,2023-03-31T16:11:54Z,,UgyWDJN5r5T4WXhiaJN4AaABAg,0.65
HUhHIzkhIzQ,"This looks interesting, I can&#39;t wait to see where it goes","This looks interesting, I can't wait to see where it goes",Cheesy McNuggets,https://yt3.ggpht.com/oPrC-sWdzIV-JkWkG0yKgQDWpZpldfhTNX7Jk4lqP4oFHnzyrSa6JFL1Ojm3SUaGi8Rboh-3=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC24WwDifedclgEDoEPO7uFA,{'value': 'UC24WwDifedclgEDoEPO7uFA'},TRUE,none,0,2023-02-20T06:23:11Z,2023-02-20T06:23:11Z,,Ugyp_KQlQu0DTsqaxMl4AaABAg,0.5
HUhHIzkhIzQ,Keep posting. Cool concept!,Keep posting. Cool concept!,AmateurHour,https://yt3.ggpht.com/UPXPxePAMSpbOrbovfJxJKLupTVk4cG85ahJl7WuXoyhgw9mqFwugsOQL5H3p_ykO_SZFj0hNw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCPi0-ugnmApw4pcUrrwdoCg,{'value': 'UCPi0-ugnmApw4pcUrrwdoCg'},TRUE,none,1,2023-02-13T04:02:48Z,2023-02-13T04:02:48Z,,Ugw2LpFzJK0y_2AGoad4AaABAg,0.35
HUhHIzkhIzQ,"Can you add differrent guns like shotguns or be able to upgrade and add gun customization or ,aybe a skill tree i think that would make the game feel a bit more alive great job keep it up","Can you add differrent guns like shotguns or be able to upgrade and add gun customization or ,aybe a skill tree i think that would make the game feel a bit more alive great job keep it up",Mukinator,https://yt3.ggpht.com/yNbU1Ein--UcTooaO4qTOkktKUY6FqEJc5V6q2z6vcBunGPaGFjJiUUdDJltLMVZIIj8W4iMZQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCr3SamI8bayG_usDUj75i8A,{'value': 'UCr3SamI8bayG_usDUj75i8A'},TRUE,none,2,2023-02-11T06:18:22Z,2023-02-11T06:18:22Z,,UgyvyrzNzhYgkvLfifJ4AaABAg,0.25
HUhHIzkhIzQ,"DISCORD LINK: <a href=""https://discord.gg/4WTS92n7QW"">https://discord.gg/4WTS92n7QW</a>",DISCORD LINK: https://discord.gg/4WTS92n7QW,Clouded Studios,https://yt3.ggpht.com/CjSGFqeRR_zFbuiH_OGaHv7CvtZ-wzu1c1EDex_Br2ZxL4g58QtZJUQlKH0InRF3bcbXThPVLE4=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCkJHfZ3xmhe5M2xEWcPi1cQ,{'value': 'UCkJHfZ3xmhe5M2xEWcPi1cQ'},TRUE,none,3,2023-02-03T17:52:18Z,2023-02-03T17:52:18Z,,UgxAQr9EY6VzevKu-xV4AaABAg,0
HUhHIzkhIzQ,Great work!! Inspirational for us that are learning,Great work!! Inspirational for us that are learning,John Depalma,https://yt3.ggpht.com/ytc/AL5GRJUZMmZ64PbkzIe0H4RwFHvg5wnCQMfWukqVNk_6vQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC96zbpj-gOd2DrYUxDRWj7g,{'value': 'UC96zbpj-gOd2DrYUxDRWj7g'},TRUE,none,0,2023-03-31T16:11:54Z,2023-03-31T16:11:54Z,,UgyWDJN5r5T4WXhiaJN4AaABAg,0.65
HUhHIzkhIzQ,"This looks interesting, I can&#39;t wait to see where it goes","This looks interesting, I can't wait to see where it goes",Cheesy McNuggets,https://yt3.ggpht.com/oPrC-sWdzIV-JkWkG0yKgQDWpZpldfhTNX7Jk4lqP4oFHnzyrSa6JFL1Ojm3SUaGi8Rboh-3=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC24WwDifedclgEDoEPO7uFA,{'value': 'UC24WwDifedclgEDoEPO7uFA'},TRUE,none,0,2023-02-20T06:23:11Z,2023-02-20T06:23:11Z,,Ugyp_KQlQu0DTsqaxMl4AaABAg,0.5
HUhHIzkhIzQ,Keep posting. Cool concept!,Keep posting. Cool concept!,AmateurHour,https://yt3.ggpht.com/UPXPxePAMSpbOrbovfJxJKLupTVk4cG85ahJl7WuXoyhgw9mqFwugsOQL5H3p_ykO_SZFj0hNw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCPi0-ugnmApw4pcUrrwdoCg,{'value': 'UCPi0-ugnmApw4pcUrrwdoCg'},TRUE,none,1,2023-02-13T04:02:48Z,2023-02-13T04:02:48Z,,Ugw2LpFzJK0y_2AGoad4AaABAg,0.35
HUhHIzkhIzQ,"Can you add differrent guns like shotguns or be able to upgrade and add gun customization or ,aybe a skill tree i think that would make the game feel a bit more alive great job keep it up","Can you add differrent guns like shotguns or be able to upgrade and add gun customization or ,aybe a skill tree i think that would make the game feel a bit more alive great job keep it up",Mukinator,https://yt3.ggpht.com/yNbU1Ein--UcTooaO4qTOkktKUY6FqEJc5V6q2z6vcBunGPaGFjJiUUdDJltLMVZIIj8W4iMZQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCr3SamI8bayG_usDUj75i8A,{'value': 'UCr3SamI8bayG_usDUj75i8A'},TRUE,none,2,2023-02-11T06:18:22Z,2023-02-11T06:18:22Z,,UgyvyrzNzhYgkvLfifJ4AaABAg,0.25
