videoId,textDisplay,textOriginal,authorDisplayName,authorProfileImageUrl,authorChannelUrl,authorChannelId,canRate,viewerRating,likeCount,publishedAt,updatedAt,parentId,commentId,sentiment,cleaned_comment,addition,subtraction,question
1szw2f9ENwk,"Hola! Antes que nada, felicitaciones por tu proyecto, lo sigo desde el comienzo y me parece espectacular. Perdón por escribir en español, supongo que puedes traducirlo con el traductor automático de YouTube o con Google Translate.  <br>Me pasa algo muy personal y particular con los gráficos y con la estética de N64. Es difícil de explicar, pero intentaré resumirlo: cuando llegó la N64 a latinoamérica, allá por los años 1997-1998, no entendíamos mucho de especificaciones técnicas, simplemente nos guiábamos por el número de bits de las consolas y por lo que vendían las publicidades. Si bien objetivamente N64 era superior a PlayStation 1 en muchos aspectos (no solo en la cantidad de bits), con el tiempo descubrí las limitaciones del formato cartucho, entre otras cuestiones que dejaban a N64 en desventaja con la ps1. Pero en aquel entonces, para mí N64 era sinónimo de superioridad en todos los aspectos. Entonces, mi mente (y mi corazón, si me lo permiten) hizo una especie de &quot;asociación&quot;, y esa estética tan particular de N64 quedó grabada para siempre en mí como &quot;los mejores gráficos que podrán existir jamás&quot;. Es hasta el día de hoy (2023) que sigo viendo los gráficos de N64, con esa &quot;borrosidad&quot; tan particular, esa niebla, esas texturas suavizadas, etc., y me siguen pareciendo INCREÍBLES. Obviamente sé que existen gráficos objetiva y técnicamente superiores, como los de la última edición de Xbox, PlayStation o Switch (o cualquier consola que salga en el futuro). Pero (y por eso decía al comienzo que era algo muy personal) para mí los gráficos de N64 siempre serán &quot;superiores&quot;. Superiores para mí, porque me conectan con una época muy feliz de mi vida. Superiores porque eran los gráficos que veía en las vidrieras de los negocios de videojuegos, con la nariz pegada al vidrio, soñando recibir para Navidad el Super Mario 64 o el Ocarina of Time. Superiores porque todavía recuerdo la primera vez que tuve un mando de N64 en mis manos y no podía creer cómo se sentía. Superiores porque veía las publicidades de los juegos en la TV o en revistas y me parecían inalcanzables. Siempre digo que, paradójicamente, fueron aquellas limitaciones de la consola y del formato cartucho (que algunos señalan como puntos negativos) las que dieron como resultado y nos regalaron esa estética tan particular y única que tanto amamos. Larga vida a los gráficos de N64!!! Espero que se haya entendido mi punto. Saludos!","Hola! Antes que nada, felicitaciones por tu proyecto, lo sigo desde el comienzo y me parece espectacular. Perdón por escribir en español, supongo que puedes traducirlo con el traductor automático de YouTube o con Google Translate.  
Me pasa algo muy personal y particular con los gráficos y con la estética de N64. Es difícil de explicar, pero intentaré resumirlo: cuando llegó la N64 a latinoamérica, allá por los años 1997-1998, no entendíamos mucho de especificaciones técnicas, simplemente nos guiábamos por el número de bits de las consolas y por lo que vendían las publicidades. Si bien objetivamente N64 era superior a PlayStation 1 en muchos aspectos (no solo en la cantidad de bits), con el tiempo descubrí las limitaciones del formato cartucho, entre otras cuestiones que dejaban a N64 en desventaja con la ps1. Pero en aquel entonces, para mí N64 era sinónimo de superioridad en todos los aspectos. Entonces, mi mente (y mi corazón, si me lo permiten) hizo una especie de ""asociación"", y esa estética tan particular de N64 quedó grabada para siempre en mí como ""los mejores gráficos que podrán existir jamás"". Es hasta el día de hoy (2023) que sigo viendo los gráficos de N64, con esa ""borrosidad"" tan particular, esa niebla, esas texturas suavizadas, etc., y me siguen pareciendo INCREÍBLES. Obviamente sé que existen gráficos objetiva y técnicamente superiores, como los de la última edición de Xbox, PlayStation o Switch (o cualquier consola que salga en el futuro). Pero (y por eso decía al comienzo que era algo muy personal) para mí los gráficos de N64 siempre serán ""superiores"". Superiores para mí, porque me conectan con una época muy feliz de mi vida. Superiores porque eran los gráficos que veía en las vidrieras de los negocios de videojuegos, con la nariz pegada al vidrio, soñando recibir para Navidad el Super Mario 64 o el Ocarina of Time. Superiores porque todavía recuerdo la primera vez que tuve un mando de N64 en mis manos y no podía creer cómo se sentía. Superiores porque veía las publicidades de los juegos en la TV o en revistas y me parecían inalcanzables. Siempre digo que, paradójicamente, fueron aquellas limitaciones de la consola y del formato cartucho (que algunos señalan como puntos negativos) las que dieron como resultado y nos regalaron esa estética tan particular y única que tanto amamos. Larga vida a los gráficos de N64!!! Espero que se haya entendido mi punto. Saludos!",Mouse,https://yt3.ggpht.com/ytc/AL5GRJWdNvZ6IPW09Rz0otvHC9Ygjc5hg8NFZ6nY8g=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC1DMHbuky4Zw2X8jbwBNuBg,{'value': 'UC1DMHbuky4Zw2X8jbwBNuBg'},True,none,7,2023-01-23T00:52:16Z,2023-01-23T00:52:16Z,,UgxUzY8bxCCiG5K4prt4AaABAg,0.9886,"hola! antes que nada, felicitaciones por thank you proyecto, lo sigo desde el comienzo y me parece espectacular. perdón por escribir en español, supongo que puedes traducirlo con el traductor automático de youtube o con google translate. <br>me pasa algo muy personal y particular con los gráficos y con laughing a lot estética de n64. es difícil de explicar, pero intentaré resumirlo: cuando llegó laughing a lot nintendo 64 a latinoamérica, allá por los años 1997-1998, no entendíamos mucho de especificaciones técnicas, simplemente nos guiábamos por el número de bits de las consolas y por lo que vendían las publicidades. si bien objetivamente nintendo 64 era superior a playstation 1 en muchos aspectos (no solo en laughing a lot cantidad de bits), con el tiempo descubrí las limitaciones del formato cartucho, entre otras cuestiones que dejaban a nintendo 64 en desventaja con laughing a lot ps1. pero en aquel entonces, para mí nintendo 64 era sinónimo de superioridad en todos los aspectos. entonces, mi mente (y mi corazón, si me lo permiten) hizo una especie de ""asociación"", y esa estética tan particular de nintendo 64 quedó grabada para siempre en mí como ""los mejores gráficos que podrán existir jamás"". es hasta el día de hoy (2023) que sigo viendo los gráficos de n64, con esa ""borrosidad"" tan particular, esa niebla, esas texturas suavizadas, etc., y me siguen pareciendo increíbles. obviamente sé que existen gráficos objetiva y técnicamente superiores, como los de laughing a lot última edición de xbox, playstation o switch (o cualquier consola que salga en el futuro). pero (y por eso decía al comienzo que era algo muy personal) para mí los gráficos de nintendo 64 siempre serán ""superiores"". superiores para mí, porque me conectan con una época muy feliz de mi vida. superiores porque eran los gráficos que veía en las vidrieras de los negocios de videojuegos, con laughing a lot nariz pegada al vidrio, soñando recibir para navidad el super mario 64 o el ocarina of time. superiores porque todavía recuerdo laughing a lot primera vez que tuve un mando de nintendo 64 en mis manos y no podía creer cómo se sentía. superiores porque veía las publicidades de los juegos en laughing a lot tv o en revistas y me parecían inalcanzables. siempre digo que, paradójicamente, fueron aquellas limitaciones de laughing a lot consola y del formato cartucho (que algunos señalan como puntos negativos) las que dieron como resultado y nos regalaron esa estética tan particular y única que tanto amamos. larga vida a los gráficos de n64!! espero que se haya entendido mi punto. saludos!",0,0,0
1szw2f9ENwk,all I ask is a game with n64/ps1 style graphics with modern mechanics,all I ask is a game with n64/ps1 style graphics with modern mechanics,B P,https://yt3.ggpht.com/ytc/AL5GRJUT821-WQQsd4kM8SdhBtlWx0b-dfRyzOszCJ9uxg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCPhQYbatfH5lTPi4kNxm0Rw,{'value': 'UCPhQYbatfH5lTPi4kNxm0Rw'},True,none,0,2023-03-16T00:03:51Z,2023-03-16T00:03:51Z,,UgzD5RbvOCXvLjZ7Rz94AaABAg,0.0,all i ask is a game with n64/ps1 style graphics with modern mechanics,0,0,0
1szw2f9ENwk,The N64 had different styles from different devs. Later N64 games with more optimized microcode looked more like early PS2 games or perhaps PS1 games with texture filtering. Kazemanuar managed to speed up Mario 64&#39;s engine by several times with some additional optimization.<br><br>Note that PS1 textures also had to be smaller because you needed more geometry to reduce texture warping.,"The N64 had different styles from different devs. Later N64 games with more optimized microcode looked more like early PS2 games or perhaps PS1 games with texture filtering. Kazemanuar managed to speed up Mario 64's engine by several times with some additional optimization.

Note that PS1 textures also had to be smaller because you needed more geometry to reduce texture warping.",Fungo,https://yt3.ggpht.com/ytc/AL5GRJU9Rlj4tX-l-PHCJH0flVZqcKJSXbQSZFmVyUy-NgIsjuImTwt4Ktbfqy0veSP6=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCSKhwivFp-GixKUwq3aEf8Q,{'value': 'UCSKhwivFp-GixKUwq3aEf8Q'},True,none,0,2023-02-21T15:26:15Z,2023-02-21T15:26:15Z,,UgxWnUk3IwyWmRskT7d4AaABAg,0.7258,the nintendo 64 had different styles from different devs. later nintendo 64 games with more optimized microcode looked more like early playstation 2 games or perhaps ps1 games with texture filtering. kazemanuar managed to speed up mario 64's engine by several times with some additional optimization.<br><br>note that ps1 textures also had to be smaller because you needed more geometry to reduce texture warping.,1,0,0
1szw2f9ENwk,I actual prefer the N64&#39;s graphical look over the PS1&#39;s. It just more pleasing to me for some reason.,I actual prefer the N64's graphical look over the PS1's. It just more pleasing to me for some reason.,CyberRonin,https://yt3.ggpht.com/ytc/AGIKgqNSej0Odw5S_c0_dVISzsxcQGujyQW-DiS0Kr8dfw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC6N2BSlsf_5hbj-KPBqotuw,{'value': 'UC6N2BSlsf_5hbj-KPBqotuw'},True,none,1,2023-02-17T22:43:00Z,2023-02-17T22:43:00Z,,UgznRPSLrB_SFMBB5M54AaABAg,0.5709,i actual prefer the n64's graphical look over the ps1's. it just more pleasing to me for some reason.,0,0,0
1szw2f9ENwk,i am a freaking monkey. trying since 3 days to create n64 aesthetic in blender but i don&#39;t get it. can someone take a huge hammer and bash that stuff into my skull pls?,i am a freaking monkey. trying since 3 days to create n64 aesthetic in blender but i don't get it. can someone take a huge hammer and bash that stuff into my skull pls?,Fruitdude,https://yt3.ggpht.com/ytc/AL5GRJUeVsjpOLIoe2Gp_hWiLhozOP6bOWLW9aDhA3Gjbw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC-Zk7hberSJrJJM5aPjGswA,{'value': 'UC-Zk7hberSJrJJM5aPjGswA'},True,none,0,2023-02-14T07:56:20Z,2023-02-14T07:56:20Z,,Ugy6FzsejbstMEqgFI14AaABAg,0.4678,i am a freaking monkey. trying since 3 days to create nintendo 64 aesthetic in blender but i don't get it. can someone take a huge hammer and bash that stuff into my skull pls?,0,0,0
1szw2f9ENwk,"So a question about the tile UV mapping.  You say you have to split the polygons up to avoid wrapping issues, but would it be easier/faster to use a fragment shader that applies a bit of math to the UV coordinates when rendering each fragment so that they&#39;re looped within a subsection of the texture atlas multiple times?","So a question about the tile UV mapping.  You say you have to split the polygons up to avoid wrapping issues, but would it be easier/faster to use a fragment shader that applies a bit of math to the UV coordinates when rendering each fragment so that they're looped within a subsection of the texture atlas multiple times?",nightwing36s,https://yt3.ggpht.com/ytc/AGIKgqMuxLMoqkrhCVyj5jBUM8pnZiq9S_mNBLDUTQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCTbcvPx30FvMTfF_rHO4v4Q,{'value': 'UCTbcvPx30FvMTfF_rHO4v4Q'},True,none,0,2023-02-14T06:49:40Z,2023-02-14T06:49:40Z,,UgwqkyoMrFNNwQbkVJh4AaABAg,-0.1531,"so a question about the tile uv mapping. you say you have to split the polygons up to avoid wrapping issues, but would it be easier/faster to use a fragment shader that applies a bit of math to the uv coordinates when rendering each fragment so that they're looped within a subsection of the texture atlas multiple times?",0,0,1
1szw2f9ENwk,What software are you using?,What software are you using?,Nonebody71,https://yt3.ggpht.com/BeCUl5f9S1WljS_T02DdpkhNwyCR80keV3O6o7AWDYE5KQEmZ8ri33IaoxUIT1mNkLQABsAcyAk=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCt7bnBrfzYmcNPC4DikvFyA,{'value': 'UCt7bnBrfzYmcNPC4DikvFyA'},True,none,1,2023-01-30T05:21:07Z,2023-01-30T05:21:07Z,,UgwTeFFKe51N_7psQnF4AaABAg,0.0,what software are you using?,0,0,1
1szw2f9ENwk,Coool. Can u port it to n64,Coool. Can u port it to n64,abdullakc,https://yt3.ggpht.com/DdFtAQmL2a5th9Ifba_kzlKas2tel_JEuQ83Ye4gtkQwX4NrLFp1fJCiWmmKe4KtkbtMCSW74g=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCAbg130cZUNAlQVv77uvMMw,{'value': 'UCAbg130cZUNAlQVv77uvMMw'},True,none,0,2023-01-28T13:33:16Z,2023-01-28T13:33:37Z,,UgwLmqxMvJUhRC7h1mV4AaABAg,0.3182,cool. can you port it to nintendo 64,0,0,0
1szw2f9ENwk,I think the 5th Generation Video game graphics are the most Creative and I think it should be used more.,I think the 5th Generation Video game graphics are the most Creative and I think it should be used more.,KR Mii Gamer,https://yt3.ggpht.com/7eTv-fqksWakIJuCfWnOBCtl2Krp_7h9fKpvVpw0HaTDHR_bq3hvny4t44eUTMaix6EiRSSqY-A=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCS_y9LTNh0xbzqSY3vmPzNw,{'value': 'UCS_y9LTNh0xbzqSY3vmPzNw'},True,none,0,2023-01-20T13:22:26Z,2023-01-20T13:22:26Z,,UgzSTvbA4bI24GmluZN4AaABAg,0.4927,i think the 5 th generation video game graphics are the most creative and i think it should be used more.,0,0,0
1szw2f9ENwk,W,W,Trillius,https://yt3.ggpht.com/Auf0loQ1XV3h1aditG4sPzRCSBqz143FzYiHpX7NBbNB33mIrnhcgBp8n7ja3PXP39F3GwlDFw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UClQKt-E-PAVXPN23jXsiJQA,{'value': 'UClQKt-E-PAVXPN23jXsiJQA'},True,none,1,2023-01-09T08:56:02Z,2023-01-09T08:56:02Z,,UgwFYwPR0RpjbDZJYFN4AaABAg,0.836,Great win,0,0,0
